deliveryDate,hourEnding,settlementPoint,settlementPointPrice,DSTFlag
2024-01-01,08:00,HB_PAN,29.99,False
2024-01-01,01:00,HB_PAN,16.97,False
2024-01-01,02:00,HB_PAN,17.49,False
2024-01-01,03:00,HB_PAN,17.31,False
2024-01-01,04:00,HB_PAN,17.5,False
2024-01-01,05:00,HB_PAN,19.48,False
2024-01-01,06:00,HB_PAN,22.38,False
2024-01-01,07:00,HB_PAN,24.71,False
2024-01-01,09:00,HB_PAN,23.6,False
2024-01-01,10:00,HB_PAN,19.65,False
2024-01-01,11:00,HB_PAN,18.48,False
2024-01-01,13:00,HB_PAN,16.54,False
2024-01-01,12:00,HB_PAN,17.9,False
2024-01-01,15:00,HB_PAN,13.85,False
2024-01-01,16:00,HB_PAN,13.18,False
2024-01-01,17:00,HB_PAN,20.41,False
2024-01-01,18:00,HB_PAN,32.99,False
2024-01-01,19:00,HB_PAN,23.85,False
2024-01-01,20:00,HB_PAN,16.14,False
2024-01-01,21:00,HB_PAN,15.3,False
2024-01-01,22:00,HB_PAN,13.03,False
2024-01-01,23:00,HB_PAN,11.17,False
2024-01-01,24:00,HB_PAN,11.34,False
2024-01-01,14:00,HB_PAN,14.45,False
2024-01-02,06:00,HB_PAN,25.09,False
2024-01-02,08:00,HB_PAN,43.08,False
2024-01-02,07:00,HB_PAN,35.84,False
2024-01-02,05:00,HB_PAN,19.67,False
2024-01-02,24:00,HB_PAN,25.28,False
2024-01-02,03:00,HB_PAN,12.88,False
2024-01-02,02:00,HB_PAN,11.46,False
2024-01-02,01:00,HB_PAN,12.53,False
2024-01-02,09:00,HB_PAN,35.74,False
2024-01-02,04:00,HB_PAN,15.26,False
2024-01-02,10:00,HB_PAN,27.5,False
2024-01-02,23:00,HB_PAN,28.04,False
2024-01-02,12:00,HB_PAN,19.34,False
2024-01-02,22:00,HB_PAN,26.18,False
2024-01-02,21:00,HB_PAN,29.23,False
2024-01-02,20:00,HB_PAN,33.67,False
2024-01-02,19:00,HB_PAN,39.16,False
2024-01-02,18:00,HB_PAN,45.46,False
2024-01-02,11:00,HB_PAN,22.83,False
2024-01-02,16:00,HB_PAN,18.4,False
2024-01-02,15:00,HB_PAN,17.04,False
2024-01-02,14:00,HB_PAN,17.69,False
2024-01-02,13:00,HB_PAN,18.12,False
2024-01-02,17:00,HB_PAN,23.76,False
2024-01-03,09:00,HB_PAN,37.11,False
2024-01-03,01:00,HB_PAN,22.5,False
2024-01-03,02:00,HB_PAN,22.26,False
2024-01-03,03:00,HB_PAN,22.27,False
2024-01-03,04:00,HB_PAN,22.17,False
2024-01-03,05:00,HB_PAN,23.43,False
2024-01-03,06:00,HB_PAN,25.28,False
2024-01-03,07:00,HB_PAN,45.09,False
2024-01-03,08:00,HB_PAN,48.77,False
2024-01-03,10:00,HB_PAN,25.71,False
2024-01-03,11:00,HB_PAN,20.78,False
2024-01-03,23:00,HB_PAN,14.58,False
2024-01-03,24:00,HB_PAN,12.91,False
2024-01-03,12:00,HB_PAN,19.45,False
2024-01-03,22:00,HB_PAN,14.94,False
2024-01-03,21:00,HB_PAN,16.94,False
2024-01-03,19:00,HB_PAN,28.73,False
2024-01-03,20:00,HB_PAN,20.26,False
2024-01-03,17:00,HB_PAN,19.45,False
2024-01-03,16:00,HB_PAN,15.34,False
2024-01-03,15:00,HB_PAN,15.58,False
2024-01-03,14:00,HB_PAN,16.68,False
2024-01-03,13:00,HB_PAN,17.09,False
2024-01-03,18:00,HB_PAN,40.2,False
2024-01-04,07:00,HB_PAN,30.25,False
2024-01-04,09:00,HB_PAN,20.96,False
2024-01-04,08:00,HB_PAN,28.15,False
2024-01-04,06:00,HB_PAN,22.18,False
2024-01-04,10:00,HB_PAN,18.03,False
2024-01-04,04:00,HB_PAN,19.22,False
2024-01-04,03:00,HB_PAN,17.66,False
2024-01-04,02:00,HB_PAN,16.69,False
2024-01-04,01:00,HB_PAN,16.72,False
2024-01-04,05:00,HB_PAN,20.09,False
2024-01-04,11:00,HB_PAN,14.96,False
2024-01-04,23:00,HB_PAN,17.77,False
2024-01-04,13:00,HB_PAN,7.41,False
2024-01-04,12:00,HB_PAN,10.76,False
2024-01-04,22:00,HB_PAN,18.18,False
2024-01-04,21:00,HB_PAN,19.4,False
2024-01-04,20:00,HB_PAN,17.3,False
2024-01-04,19:00,HB_PAN,20.5,False
2024-01-04,24:00,HB_PAN,17.47,False
2024-01-04,17:00,HB_PAN,16.4,False
2024-01-04,16:00,HB_PAN,12.21,False
2024-01-04,15:00,HB_PAN,6.99,False
2024-01-04,14:00,HB_PAN,6.61,False
2024-01-04,18:00,HB_PAN,27.14,False
2024-01-05,10:00,HB_PAN,18.06,False
2024-01-05,01:00,HB_PAN,16.0,False
2024-01-05,02:00,HB_PAN,15.52,False
2024-01-05,03:00,HB_PAN,15.48,False
2024-01-05,04:00,HB_PAN,16.14,False
2024-01-05,05:00,HB_PAN,18.09,False
2024-01-05,06:00,HB_PAN,21.92,False
2024-01-05,07:00,HB_PAN,28.42,False
2024-01-05,08:00,HB_PAN,28.42,False
2024-01-05,09:00,HB_PAN,21.06,False
2024-01-05,11:00,HB_PAN,16.66,False
2024-01-05,12:00,HB_PAN,14.33,False
2024-01-05,13:00,HB_PAN,11.12,False
2024-01-05,24:00,HB_PAN,26.79,False
2024-01-05,22:00,HB_PAN,28.8,False
2024-01-05,21:00,HB_PAN,30.23,False
2024-01-05,20:00,HB_PAN,30.34,False
2024-01-05,19:00,HB_PAN,33.18,False
2024-01-05,23:00,HB_PAN,27.52,False
2024-01-05,17:00,HB_PAN,18.29,False
2024-01-05,16:00,HB_PAN,9.98,False
2024-01-05,15:00,HB_PAN,6.96,False
2024-01-05,14:00,HB_PAN,8.19,False
2024-01-05,18:00,HB_PAN,37.94,False
2024-01-06,09:00,HB_PAN,30.76,False
2024-01-06,01:00,HB_PAN,24.25,False
2024-01-06,02:00,HB_PAN,21.53,False
2024-01-06,03:00,HB_PAN,20.77,False
2024-01-06,04:00,HB_PAN,21.45,False
2024-01-06,05:00,HB_PAN,22.93,False
2024-01-06,06:00,HB_PAN,26.01,False
2024-01-06,07:00,HB_PAN,39.75,False
2024-01-06,08:00,HB_PAN,41.93,False
2024-01-06,10:00,HB_PAN,20.01,False
2024-01-06,11:00,HB_PAN,18.62,False
2024-01-06,23:00,HB_PAN,19.34,False
2024-01-06,24:00,HB_PAN,13.66,False
2024-01-06,12:00,HB_PAN,18.19,False
2024-01-06,22:00,HB_PAN,24.49,False
2024-01-06,21:00,HB_PAN,32.88,False
2024-01-06,19:00,HB_PAN,32.34,False
2024-01-06,20:00,HB_PAN,34.1,False
2024-01-06,17:00,HB_PAN,19.54,False
2024-01-06,16:00,HB_PAN,14.46,False
2024-01-06,15:00,HB_PAN,14.06,False
2024-01-06,14:00,HB_PAN,14.75,False
2024-01-06,13:00,HB_PAN,15.4,False
2024-01-06,18:00,HB_PAN,36.21,False
2024-01-07,07:00,HB_PAN,13.84,False
2024-01-07,09:00,HB_PAN,16.49,False
2024-01-07,08:00,HB_PAN,16.89,False
2024-01-07,06:00,HB_PAN,12.89,False
2024-01-07,10:00,HB_PAN,8.51,False
2024-01-07,04:00,HB_PAN,12.23,False
2024-01-07,03:00,HB_PAN,14.38,False
2024-01-07,02:00,HB_PAN,13.55,False
2024-01-07,01:00,HB_PAN,15.77,False
2024-01-07,05:00,HB_PAN,14.74,False
2024-01-07,11:00,HB_PAN,1.5,False
2024-01-07,24:00,HB_PAN,0.03,False
2024-01-07,13:00,HB_PAN,-2.64,False
2024-01-07,12:00,HB_PAN,-0.4,False
2024-01-07,22:00,HB_PAN,0.22,False
2024-01-07,21:00,HB_PAN,-2.1,False
2024-01-07,20:00,HB_PAN,-1.1,False
2024-01-07,19:00,HB_PAN,0.37,False
2024-01-07,23:00,HB_PAN,-0.28,False
2024-01-07,17:00,HB_PAN,-3.83,False
2024-01-07,16:00,HB_PAN,-5.44,False
2024-01-07,15:00,HB_PAN,-6.02,False
2024-01-07,14:00,HB_PAN,-5.5,False
2024-01-07,18:00,HB_PAN,-1.96,False
2024-01-08,09:00,HB_PAN,9.81,False
2024-01-08,01:00,HB_PAN,2.29,False
2024-01-08,02:00,HB_PAN,0.45,False
2024-01-08,03:00,HB_PAN,-0.01,False
2024-01-08,04:00,HB_PAN,0.0,False
2024-01-08,05:00,HB_PAN,2.71,False
2024-01-08,06:00,HB_PAN,9.08,False
2024-01-08,07:00,HB_PAN,17.88,False
2024-01-08,08:00,HB_PAN,21.03,False
2024-01-08,10:00,HB_PAN,0.28,False
2024-01-08,11:00,HB_PAN,0.09,False
2024-01-08,24:00,HB_PAN,0.73,False
2024-01-08,12:00,HB_PAN,-0.27,False
2024-01-08,22:00,HB_PAN,5.32,False
2024-01-08,21:00,HB_PAN,8.17,False
2024-01-08,23:00,HB_PAN,1.99,False
2024-01-08,19:00,HB_PAN,18.8,False
2024-01-08,20:00,HB_PAN,9.8,False
2024-01-08,17:00,HB_PAN,2.82,False
2024-01-08,16:00,HB_PAN,-0.52,False
2024-01-08,15:00,HB_PAN,-1.38,False
2024-01-08,14:00,HB_PAN,-1.55,False
2024-01-08,13:00,HB_PAN,-1.18,False
2024-01-08,18:00,HB_PAN,15.88,False
2024-01-09,08:00,HB_PAN,22.15,False
2024-01-09,07:00,HB_PAN,15.87,False
2024-01-09,06:00,HB_PAN,10.34,False
2024-01-09,05:00,HB_PAN,8.55,False
2024-01-09,17:00,HB_PAN,18.5,False
2024-01-09,03:00,HB_PAN,4.89,False
2024-01-09,02:00,HB_PAN,4.7,False
2024-01-09,01:00,HB_PAN,5.0,False
2024-01-09,09:00,HB_PAN,10.1,False
2024-01-09,04:00,HB_PAN,4.23,False
2024-01-09,10:00,HB_PAN,5.49,False
2024-01-09,12:00,HB_PAN,5.66,False
2024-01-09,24:00,HB_PAN,5.0,False
2024-01-09,13:00,HB_PAN,8.74,False
2024-01-09,14:00,HB_PAN,13.43,False
2024-01-09,15:00,HB_PAN,14.48,False
2024-01-09,16:00,HB_PAN,15.35,False
2024-01-09,18:00,HB_PAN,58.22,False
2024-01-09,19:00,HB_PAN,61.27,False
2024-01-09,20:00,HB_PAN,39.13,False
2024-01-09,21:00,HB_PAN,19.19,False
2024-01-09,22:00,HB_PAN,11.05,False
2024-01-09,23:00,HB_PAN,5.98,False
2024-01-09,11:00,HB_PAN,5.06,False
2024-01-10,09:00,HB_PAN,3.08,False
2024-01-10,08:00,HB_PAN,14.77,False
2024-01-10,07:00,HB_PAN,15.34,False
2024-01-10,06:00,HB_PAN,13.52,False
2024-01-10,10:00,HB_PAN,0.19,False
2024-01-10,04:00,HB_PAN,9.73,False
2024-01-10,03:00,HB_PAN,10.46,False
2024-01-10,02:00,HB_PAN,11.31,False
2024-01-10,01:00,HB_PAN,13.42,False
2024-01-10,05:00,HB_PAN,8.74,False
2024-01-10,11:00,HB_PAN,1.55,False
2024-01-10,12:00,HB_PAN,-0.66,False
2024-01-10,13:00,HB_PAN,0.24,False
2024-01-10,23:00,HB_PAN,20.64,False
2024-01-10,22:00,HB_PAN,26.86,False
2024-01-10,21:00,HB_PAN,35.18,False
2024-01-10,20:00,HB_PAN,47.99,False
2024-01-10,19:00,HB_PAN,48.27,False
2024-01-10,24:00,HB_PAN,20.8,False
2024-01-10,17:00,HB_PAN,19.52,False
2024-01-10,16:00,HB_PAN,12.42,False
2024-01-10,15:00,HB_PAN,5.14,False
2024-01-10,14:00,HB_PAN,2.39,False
2024-01-10,18:00,HB_PAN,50.71,False
2024-01-11,09:00,HB_PAN,8.06,False
2024-01-11,01:00,HB_PAN,20.27,False
2024-01-11,02:00,HB_PAN,19.64,False
2024-01-11,03:00,HB_PAN,18.0,False
2024-01-11,04:00,HB_PAN,17.11,False
2024-01-11,05:00,HB_PAN,16.55,False
2024-01-11,06:00,HB_PAN,17.85,False
2024-01-11,07:00,HB_PAN,19.05,False
2024-01-11,08:00,HB_PAN,16.22,False
2024-01-11,10:00,HB_PAN,1.72,False
2024-01-11,11:00,HB_PAN,1.05,False
2024-01-11,23:00,HB_PAN,0.27,False
2024-01-11,12:00,HB_PAN,-1.77,False
2024-01-11,22:00,HB_PAN,1.22,False
2024-01-11,21:00,HB_PAN,1.37,False
2024-01-11,19:00,HB_PAN,8.35,False
2024-01-11,18:00,HB_PAN,6.18,False
2024-01-11,20:00,HB_PAN,5.33,False
2024-01-11,16:00,HB_PAN,-5.71,False
2024-01-11,15:00,HB_PAN,-5.4,False
2024-01-11,14:00,HB_PAN,-4.58,False
2024-01-11,13:00,HB_PAN,-4.43,False
2024-01-11,17:00,HB_PAN,-1.86,False
2024-01-11,24:00,HB_PAN,0.05,False
2024-01-12,06:00,HB_PAN,15.35,False
2024-01-12,09:00,HB_PAN,28.57,False
2024-01-12,08:00,HB_PAN,28.81,False
2024-01-12,07:00,HB_PAN,23.75,False
2024-01-12,10:00,HB_PAN,18.57,False
2024-01-12,04:00,HB_PAN,1.09,False
2024-01-12,03:00,HB_PAN,0.41,False
2024-01-12,02:00,HB_PAN,1.03,False
2024-01-12,01:00,HB_PAN,3.08,False
2024-01-12,05:00,HB_PAN,6.18,False
2024-01-12,11:00,HB_PAN,16.09,False
2024-01-12,18:00,HB_PAN,34.57,False
2024-01-12,13:00,HB_PAN,9.41,False
2024-01-12,24:00,HB_PAN,19.83,False
2024-01-12,23:00,HB_PAN,19.57,False
2024-01-12,22:00,HB_PAN,23.67,False
2024-01-12,21:00,HB_PAN,27.01,False
2024-01-12,20:00,HB_PAN,33.99,False
2024-01-12,12:00,HB_PAN,13.35,False
2024-01-12,17:00,HB_PAN,18.42,False
2024-01-12,16:00,HB_PAN,9.25,False
2024-01-12,15:00,HB_PAN,7.97,False
2024-01-12,14:00,HB_PAN,9.25,False
2024-01-12,19:00,HB_PAN,42.86,False
2024-01-13,09:00,HB_PAN,7.28,False
2024-01-13,01:00,HB_PAN,1.36,False
2024-01-13,02:00,HB_PAN,1.17,False
2024-01-13,03:00,HB_PAN,0.84,False
2024-01-13,04:00,HB_PAN,0.95,False
2024-01-13,05:00,HB_PAN,1.38,False
2024-01-13,06:00,HB_PAN,1.77,False
2024-01-13,07:00,HB_PAN,12.89,False
2024-01-13,08:00,HB_PAN,13.01,False
2024-01-13,10:00,HB_PAN,14.15,False
2024-01-13,11:00,HB_PAN,13.39,False
2024-01-13,23:00,HB_PAN,28.01,False
2024-01-13,12:00,HB_PAN,11.22,False
2024-01-13,22:00,HB_PAN,31.67,False
2024-01-13,21:00,HB_PAN,25.07,False
2024-01-13,24:00,HB_PAN,30.24,False
2024-01-13,19:00,HB_PAN,23.29,False
2024-01-13,20:00,HB_PAN,22.76,False
2024-01-13,17:00,HB_PAN,5.22,False
2024-01-13,16:00,HB_PAN,4.74,False
2024-01-13,15:00,HB_PAN,5.64,False
2024-01-13,14:00,HB_PAN,6.45,False
2024-01-13,13:00,HB_PAN,8.85,False
2024-01-13,18:00,HB_PAN,18.77,False
2024-01-14,09:00,HB_PAN,93.42,False
2024-01-14,08:00,HB_PAN,93.63,False
2024-01-14,07:00,HB_PAN,80.14,False
2024-01-14,06:00,HB_PAN,64.9,False
2024-01-14,10:00,HB_PAN,84.7,False
2024-01-14,04:00,HB_PAN,66.89,False
2024-01-14,03:00,HB_PAN,50.79,False
2024-01-14,02:00,HB_PAN,39.49,False
2024-01-14,01:00,HB_PAN,35.69,False
2024-01-14,05:00,HB_PAN,71.36,False
2024-01-14,11:00,HB_PAN,80.36,False
2024-01-14,17:00,HB_PAN,72.59,False
2024-01-14,13:00,HB_PAN,75.74,False
2024-01-14,12:00,HB_PAN,75.12,False
2024-01-14,23:00,HB_PAN,85.89,False
2024-01-14,22:00,HB_PAN,105.44,False
2024-01-14,21:00,HB_PAN,113.82,False
2024-01-14,20:00,HB_PAN,114.5,False
2024-01-14,24:00,HB_PAN,80.76,False
2024-01-14,18:00,HB_PAN,107.07,False
2024-01-14,16:00,HB_PAN,63.77,False
2024-01-14,15:00,HB_PAN,62.65,False
2024-01-14,14:00,HB_PAN,68.11,False
2024-01-14,19:00,HB_PAN,123.56,False
2024-01-15,11:00,HB_PAN,259.05,False
2024-01-15,03:00,HB_PAN,149.33,False
2024-01-15,04:00,HB_PAN,162.69,False
2024-01-15,05:00,HB_PAN,229.36,False
2024-01-15,06:00,HB_PAN,406.19,False
2024-01-15,07:00,HB_PAN,928.59,False
2024-01-15,08:00,HB_PAN,1160.12,False
2024-01-15,09:00,HB_PAN,962.49,False
2024-01-15,10:00,HB_PAN,425.54,False
2024-01-15,02:00,HB_PAN,129.44,False
2024-01-15,17:00,HB_PAN,98.19,False
2024-01-15,14:00,HB_PAN,106.61,False
2024-01-15,15:00,HB_PAN,91.27,False
2024-01-15,16:00,HB_PAN,90.4,False
2024-01-15,18:00,HB_PAN,164.38,False
2024-01-15,19:00,HB_PAN,161.79,False
2024-01-15,20:00,HB_PAN,132.62,False
2024-01-15,21:00,HB_PAN,115.47,False
2024-01-15,22:00,HB_PAN,102.79,False
2024-01-15,23:00,HB_PAN,132.83,False
2024-01-15,24:00,HB_PAN,115.37,False
2024-01-15,13:00,HB_PAN,133.84,False
2024-01-15,01:00,HB_PAN,160.53,False
2024-01-15,12:00,HB_PAN,165.22,False
2024-01-16,01:00,HB_PAN,152.74,False
2024-01-16,24:00,HB_PAN,147.53,False
2024-01-16,23:00,HB_PAN,187.67,False
2024-01-16,22:00,HB_PAN,168.18,False
2024-01-16,21:00,HB_PAN,256.89,False
2024-01-16,20:00,HB_PAN,302.82,False
2024-01-16,19:00,HB_PAN,317.14,False
2024-01-16,17:00,HB_PAN,95.29,False
2024-01-16,16:00,HB_PAN,78.81,False
2024-01-16,15:00,HB_PAN,80.2,False
2024-01-16,14:00,HB_PAN,87.91,False
2024-01-16,13:00,HB_PAN,104.16,False
2024-01-16,18:00,HB_PAN,255.39,False
2024-01-16,11:00,HB_PAN,215.11,False
2024-01-16,12:00,HB_PAN,151.34,False
2024-01-16,03:00,HB_PAN,197.16,False
2024-01-16,04:00,HB_PAN,254.31,False
2024-01-16,05:00,HB_PAN,381.97,False
2024-01-16,06:00,HB_PAN,753.77,False
2024-01-16,02:00,HB_PAN,152.95,False
2024-01-16,08:00,HB_PAN,2026.58,False
2024-01-16,09:00,HB_PAN,1450.29,False
2024-01-16,10:00,HB_PAN,378.54,False
2024-01-16,07:00,HB_PAN,1420.74,False
2024-01-17,09:00,HB_PAN,48.81,False
2024-01-17,23:00,HB_PAN,11.74,False
2024-01-17,01:00,HB_PAN,73.83,False
2024-01-17,02:00,HB_PAN,65.77,False
2024-01-17,03:00,HB_PAN,63.37,False
2024-01-17,04:00,HB_PAN,61.83,False
2024-01-17,05:00,HB_PAN,61.39,False
2024-01-17,06:00,HB_PAN,62.29,False
2024-01-17,07:00,HB_PAN,96.23,False
2024-01-17,08:00,HB_PAN,108.18,False
2024-01-17,10:00,HB_PAN,22.53,False
2024-01-17,24:00,HB_PAN,14.11,False
2024-01-17,12:00,HB_PAN,11.89,False
2024-01-17,11:00,HB_PAN,13.24,False
2024-01-17,21:00,HB_PAN,6.42,False
2024-01-17,20:00,HB_PAN,8.34,False
2024-01-17,19:00,HB_PAN,8.61,False
2024-01-17,18:00,HB_PAN,9.26,False
2024-01-17,22:00,HB_PAN,6.14,False
2024-01-17,16:00,HB_PAN,0.8,False
2024-01-17,15:00,HB_PAN,1.72,False
2024-01-17,14:00,HB_PAN,5.72,False
2024-01-17,13:00,HB_PAN,5.99,False
2024-01-17,17:00,HB_PAN,3.13,False
2024-01-18,01:00,HB_PAN,3.76,False
2024-01-18,02:00,HB_PAN,4.56,False
2024-01-18,03:00,HB_PAN,6.82,False
2024-01-18,04:00,HB_PAN,10.56,False
2024-01-18,05:00,HB_PAN,13.29,False
2024-01-18,06:00,HB_PAN,19.84,False
2024-01-18,07:00,HB_PAN,27.26,False
2024-01-18,09:00,HB_PAN,20.79,False
2024-01-18,10:00,HB_PAN,16.99,False
2024-01-18,11:00,HB_PAN,16.22,False
2024-01-18,08:00,HB_PAN,27.16,False
2024-01-18,13:00,HB_PAN,15.73,False
2024-01-18,24:00,HB_PAN,-16.33,False
2024-01-18,12:00,HB_PAN,17.06,False
2024-01-18,22:00,HB_PAN,-14.86,False
2024-01-18,21:00,HB_PAN,-8.25,False
2024-01-18,20:00,HB_PAN,15.94,False
2024-01-18,19:00,HB_PAN,40.32,False
2024-01-18,23:00,HB_PAN,-17.51,False
2024-01-18,17:00,HB_PAN,15.98,False
2024-01-18,16:00,HB_PAN,12.92,False
2024-01-18,15:00,HB_PAN,13.47,False
2024-01-18,14:00,HB_PAN,14.29,False
2024-01-18,18:00,HB_PAN,30.48,False
2024-01-19,10:00,HB_PAN,16.09,False
2024-01-19,01:00,HB_PAN,-12.74,False
2024-01-19,02:00,HB_PAN,-11.85,False
2024-01-19,03:00,HB_PAN,-5.87,False
2024-01-19,04:00,HB_PAN,0.15,False
2024-01-19,05:00,HB_PAN,4.57,False
2024-01-19,06:00,HB_PAN,11.4,False
2024-01-19,07:00,HB_PAN,16.35,False
2024-01-19,08:00,HB_PAN,27.96,False
2024-01-19,09:00,HB_PAN,25.06,False
2024-01-19,11:00,HB_PAN,18.11,False
2024-01-19,20:00,HB_PAN,47.17,False
2024-01-19,13:00,HB_PAN,19.4,False
2024-01-19,24:00,HB_PAN,33.25,False
2024-01-19,12:00,HB_PAN,21.03,False
2024-01-19,22:00,HB_PAN,41.14,False
2024-01-19,21:00,HB_PAN,43.9,False
2024-01-19,19:00,HB_PAN,64.81,False
